Time(h),Radiation (W/m2)
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,8.877
10,55.857
11,112.029
12,183.299
13,196.532
14,134.7
15,45.875
16,1.947
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,1.161
33,52.111
34,140.96
35,206.195
36,226.984
37,203.314
38,150.035
39,64.53
40,2.78
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.829
57,31.88
58,85.154
59,130.299
60,142.419
61,124.777
62,86.565
63,37.618
64,1.991
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.44
81,23.538
82,60.508
83,106.134
84,97.766
85,68.708
86,42.132
87,17.554
88,0.693
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.615
105,18.93
106,35.83
107,33.124
108,29.526
109,18.885
110,12.178
111,3.053
112,0.018
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.818
129,24.741
130,61.703
131,95.332
132,111.936
133,107.333
134,75.045
135,35.633
136,2.26
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.676
153,13.445
154,32.382
155,42.334
156,44.42
157,36.736
158,24.798
159,8.562
160,0.44
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,1.065
177,18.521
178,46.718
179,55.378
180,79.668
181,103.765
182,82.48
183,34.75
184,2.216
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,2.578
201,61.036
202,142.116
203,203.126
204,234.185
205,218.866
206,156.458
207,73.308
208,5.1
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,1.117
225,21.547
226,48.806
227,74.107
228,99.754
229,102.68
230,89.579
231,48.148
232,3.495
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
