Time(h),Irradiance [W/m^2],T_ambient [Degrees Celsius],T_ground [Degrees Celsius],Wind [m/s],Cloud [okta],Pressure [Pa],Rain [mm/hr],Diffuse [W/m^2],Direct [W/m^2],Elevation [Degrees],Azimuth [Degrees]
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0
2.0,0.0,2.853,1.705,4.342,6.458,101432.507,0.222,0.0,0.0,-58.909,24.71
3.0,0.0,2.717,1.617,4.257,6.362,101439.285,0.076,0.0,0.0,-53.476,47.673
4.0,0.0,2.675,1.568,4.18,6.57,101431.695,0.043,0.0,0.0,-45.821,65.523
5.0,0.0,2.547,1.502,4.403,6.353,101418.187,0.04,0.0,0.0,-37.077,79.835
6.0,0.0,2.496,1.46,4.46,6.168,101411.046,0.032,0.0,0.0,-27.946,92.14
7.0,0.0,2.451,1.457,4.412,6.072,101415.25,0.05,0.0,0.0,-18.872,103.492
8.0,0.0,2.419,1.41,4.359,5.738,101424.722,0.068,0.0,0.0,-10.215,114.605
9.0,0.812,2.398,1.453,4.39,5.544,101449.578,0.058,0.811,0.001,-2.303,125.985
10.0,18.846,2.623,1.522,4.323,5.834,101481.335,0.084,16.67,2.177,4.508,137.991
11.0,58.09,3.122,1.625,4.348,5.8,101495.5,0.033,43.116,14.975,9.848,150.817
12.0,91.307,3.525,1.736,4.356,6.28,101477.664,0.047,63.827,27.48,13.34,164.444
13.0,96.189,3.852,1.816,4.409,6.382,101445.583,0.084,67.952,28.236,14.696,178.595
14.0,95.522,4.134,1.939,4.302,6.558,101414.439,0.101,67.348,28.173,13.789,192.798
15.0,64.797,4.187,2.036,4.39,6.605,101398.888,0.097,49.109,15.689,10.705,206.561
16.0,33.099,3.97,2.055,4.323,6.196,101395.423,0.137,27.668,5.431,5.708,219.56
17.0,3.762,3.598,2.042,4.164,5.822,101388.002,0.061,3.624,0.139,-0.842,231.724
18.0,0.0,3.51,2.048,4.059,6.333,101378.484,0.062,0.0,0.0,-8.561,243.21
19.0,0.0,3.314,2.07,4.133,6.148,101367.832,0.105,0.0,0.0,-17.095,254.348
20.0,0.0,3.093,1.876,4.051,6.143,101359.108,0.224,0.0,0.0,-26.106,265.613
21.0,0.0,2.971,1.631,4.218,5.847,101342.134,0.08,0.0,0.0,-35.255,277.669
22.0,0.0,2.786,1.487,4.379,5.334,101324.932,0.116,0.0,0.0,-44.112,291.487
23.0,0.0,2.874,1.348,4.394,6.348,101308.115,0.135,0.0,0.0,-52.044,308.507
24.0,0.0,2.922,1.321,4.442,6.186,101292.111,0.115,0.0,0.0,-58.014,330.384
25.0,0.0,2.886,1.344,4.548,6.033,101279.93,0.117,0.0,0.0,-60.594,321.86
26.0,0.0,2.793,1.393,4.511,5.672,101257.34,0.105,0.0,0.0,-58.862,24.444
27.0,0.0,2.825,1.388,4.454,6.177,101264.773,0.207,0.0,0.0,-53.457,47.446
28.0,0.0,2.7,1.474,4.452,6.804,101250.159,0.239,0.0,0.0,-45.82,65.327
29.0,0.0,2.674,1.509,4.639,6.666,101228.112,0.281,0.0,0.0,-37.085,79.664
30.0,0.0,2.742,1.518,4.576,6.667,101217.485,0.198,0.0,0.0,-27.962,91.976
31.0,0.0,2.546,1.513,4.367,6.383,101220.994,0.155,0.0,0.0,-18.877,103.347
32.0,0.0,2.589,1.512,4.352,6.594,101237.48,0.112,0.0,0.0,-10.214,114.466
33.0,0.841,2.62,1.475,4.254,6.258,101267.648,0.162,0.841,0.002,-2.29,125.848
34.0,23.06,2.954,1.469,4.163,6.111,101308.896,0.179,19.046,4.014,4.537,137.856
35.0,67.338,3.62,1.598,4.314,5.922,101338.326,0.086,46.396,20.939,9.894,150.685
36.0,102.59,4.143,1.73,4.409,6.129,101334.078,0.089,65.533,37.057,13.405,164.319
37.0,116.844,4.51,1.778,4.617,6.005,101321.385,0.083,73.149,43.694,14.781,178.482
38.0,105.307,4.719,1.891,4.614,6.368,101320.567,0.224,67.274,38.032,13.891,192.701
39.0,75.103,4.759,1.945,4.538,5.885,101327.303,0.126,49.911,25.192,10.819,206.483
40.0,36.586,4.411,1.936,4.341,5.885,101353.94,0.17,27.259,9.327,5.833,219.498
41.0,4.239,3.805,1.806,4.233,5.69,101383.803,0.223,4.183,0.057,-0.711,231.677
42.0,0.0,3.487,1.78,4.034,5.795,101404.149,0.128,0.0,0.0,-8.426,243.175
43.0,0.0,3.371,1.844,4.115,5.815,101426.403,0.178,0.0,0.0,-16.959,254.32
44.0,0.0,3.174,1.68,4.273,5.252,101451.092,0.061,0.0,0.0,-25.969,265.587
45.0,0.0,3.074,1.565,4.139,5.343,101466.765,0.025,0.0,0.0,-35.118,277.64
46.0,0.0,2.868,1.469,4.328,5.51,101478.552,0.063,0.0,0.0,-43.97,291.435
47.0,0.0,2.796,1.37,4.559,5.437,101489.407,0.145,0.0,0.0,-51.913,308.433
48.0,0.0,2.62,1.266,4.671,5.733,101516.197,0.14,0.0,0.0,-57.894,330.248
49.0,0.0,2.65,1.172,4.626,6.176,101531.865,0.184,0.0,0.0,-60.499,321.648
50.0,0.0,2.536,1.16,4.545,6.195,101533.38,0.03,0.0,0.0,-58.803,24.217
51.0,0.0,2.516,1.074,4.645,6.253,101552.352,0.09,0.0,0.0,-53.431,47.214
52.0,0.0,2.526,1.014,4.585,6.042,101566.031,0.062,0.0,0.0,-45.811,65.122
53.0,0.0,2.41,0.945,4.579,6.482,101537.534,0.03,0.0,0.0,-37.071,79.511
54.0,0.0,2.327,0.923,4.426,6.428,101529.221,0.035,0.0,0.0,-27.964,91.817
55.0,0.0,2.174,0.832,4.399,6.567,101528.604,0.056,0.0,0.0,-18.877,103.197
56.0,0.0,2.224,0.898,4.608,6.871,101533.058,0.043,0.0,0.0,-10.205,114.322
57.0,0.749,2.305,0.873,4.601,6.91,101542.0,0.07,0.747,0.001,-2.269,125.708
58.0,21.024,2.488,0.87,4.791,6.755,101557.349,0.068,19.276,1.746,4.568,137.711
59.0,59.634,3.056,1.061,4.949,6.598,101561.145,0.043,46.434,13.2,9.947,150.552
60.0,81.535,3.576,1.213,5.176,6.968,101521.137,0.052,64.744,16.788,13.479,164.194
61.0,89.671,3.866,1.288,5.312,6.996,101472.843,0.157,68.571,21.102,14.872,178.371
62.0,83.305,4.073,1.433,5.357,6.946,101425.463,0.097,59.805,23.501,14.0,192.607
63.0,59.416,4.109,1.571,5.193,6.709,101390.486,0.193,47.838,11.579,10.941,206.408
64.0,30.689,4.008,1.637,4.966,6.567,101375.24,0.209,24.944,5.745,5.964,219.442
